english,chinese,german
I,我,
a,一个,
about,关于,
above,上面,
after,之后,
afternoon,下午,
air,空气,
although,虽然,
among,当中,
an,,
and,和,
angry,生气,
anxious,焦虑,
any,任何,
apple,苹果,
arm,手臂,
artwork,艺术品,
ashamed,羞愧,
at,在,
aunt,姑姑,
autumn,,
back,后,
bad,坏,
beautiful,美丽,
because,因为,
before,之前,
below,下面,
between,之间,
big,大,
bird,鸟,
black,黑色,
blue,蓝色,
bone,骨头,
book,书,
bookcase,书柜,
bookmark,书签,
bookshelf,书架,
bookstore,书店,
brain,大脑,
bread,面包,
brother,兄弟,
brown,棕色,
but,但是,
butter,黄油,
by,被,
calm,平静,
cat,猫,
cheese,奶酪,
chicken,鸡,
child,孩子,
cloud,云,
coffee,咖啡,
cold,冷,
cousin,表兄弟,
cow,牛,
daughter,女儿,
day,日,
daylight,日光,
dog,狗,
down,下,
drink,喝,
duck,鸭,
during,之间,
each,每个,
ear,耳朵,
earth,土,
east,东,
eat,吃,
egg,蛋,
eight,八,
elephant,大象,
eleven,十一,
evening,傍晚,
every,,
excited,兴奋,
eye,眼睛,
fall,,
false,,
far,远,
fast,快,
father,父亲,
fear,恐惧,
fifteen,十五,
fifty,五十,
finger,手指,
fire,火,
fish,鱼,
five,五,
flashlight,手电筒,
foot,脚,
for,为了,
forest,森林,
four,四,
framework,框架,
from,从,
front,前,
fruit,水果,
gold,金色,
good,好,
grand-child,,
grand-parent,,
grandfather,祖父,
grandmother,祖母,
gray,灰色,
green,绿色,
hand,手,
handbook,手册,
happy,快乐,
hate,恨,
he,他,
head,头,
heart,心脏,
highlight,显示,
homework,作业,
horse,马,
hot,热,
hour,小时,
hundred,百,
husband,丈夫,
if,如果,
in,在,
inside,里,
into,进入,
it,它,
joy,喜悦,
jump,跳,
learn,学,
left,左,
leg,腿,
light,光,
lighten,变亮,
lighter,打火机,
lightning,闪电,
lion,狮子,
listen,听,
love,爱,
lung,肺,
meat,肉,
metal,,
metalwork,金属制品,
milk,牛奶,
million,,
minute,分钟,
month,月,
moon,月亮,
moonlight,月光,
morning,早晨,
mother,母亲,
mountain,山,
mouse,老鼠,
mouth,嘴,
near,近,
nephew,侄子,
network,网络,
new,新,
night,夜晚,
nine,九,
nor,也不,
north,北,
nose,鼻子,
notebook,笔记本,
ocean,海洋,
of,的,
old,旧,
on,之上,
one,一,
onto,到,
or,或者,
orange,橙色,
outside,外,
over,之上,
parent,父母,
pig,猪,
pink,粉色,
proud,自豪,
purple,紫色,
rabbit,兔子,
rain,雨,
read,读,
red,红色,
rice,米饭,
right,右,
river,河,
run,跑,
sad,悲伤,
salt,盐,
season,,
second,秒,
seven,七,
she,她,
sheep,羊,
silver,银色,
sister,姐妹,
sit,坐,
six,六,
sleep,睡,
slow,慢,
small,小,
snow,雪,
so,所以,
some,一些,
son,儿子,
sorrow,悲痛,
south,南,
speak,说,
spring,春天,
stand,站,
star,星星,
starlight,星光,
stomach,胃,
strong,强,
sugar,糖,
summer,夏天,
sun,太阳,
sunlight,阳光,
surprised,惊讶,
tea,茶,
teach,教,
teamwork,团队合作,
ten,十,
textbook,教科书,
that,那个,
the,这,
they,他们,
think,想,
this,这个,
thousand,千,
three,三,
through,通过,
tiger,老虎,
time,,
today,今天,
tomorrow,明天,
true,真实,
twelve,十二,
twenty,二十,
two,二,
ugly,,
uncle,叔叔,
under,之下,
unless,除非,
up,上,
vegetable,蔬菜,
violet,紫罗兰色,
walk,走,
water,水,
we,我们,
weak,弱,
what,什么,
when,当,
which,哪个,
while,而,
white,白色,
who,谁,
wife,妻子,
wind,风,
winter,冬天,
with,与,
without,没有,
wood,,
work,工作,
workday,工作日,
worked,工作过,
worker,工人,
working,工作中,
workplace,工作场所,
worried,担心,
write,写,
year,年,
yellow,黄色,
yesterday,昨天,
yet,然而,
you,你,
zero,零,
