relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-106,sequential,one,two,一,二,uno,dos,numeric_sequence,pending,
NeurIPS-RA-107,sequential,two,three,二,三,dos,tres,numeric_sequence,pending,
NeurIPS-RA-108,sequential,three,four,三,四,tres,cuatro,numeric_sequence,pending,
NeurIPS-RA-109,sequential,four,five,四,五,cuatro,cinco,numeric_sequence,pending,
NeurIPS-RA-110,sequential,five,six,五,六,cinco,seis,numeric_sequence,pending,
NeurIPS-RA-111,sequential,ten,hundred,十,百,diez,cien,magnitude_increase,pending,
NeurIPS-RA-112,sequential,hundred,thousand,百,千,cien,mil,magnitude_increase,pending,
NeurIPS-RA-113,sequential,thousand,million,千,百万,mil,millón,magnitude_increase,pending,
NeurIPS-RA-114,sequential,first,second,第一,第二,primero,segundo,ordinal_sequence,pending,
NeurIPS-RA-115,sequential,second,third,第二,第三,segundo,tercero,ordinal_sequence,pending,
NeurIPS-RA-116,sequential,Monday,Tuesday,星期一,星期二,lunes,martes,day_sequence,pending,
NeurIPS-RA-117,sequential,Tuesday,Wednesday,星期二,星期三,martes,miércoles,day_sequence,pending,
NeurIPS-RA-118,sequential,January,February,一月,二月,enero,febrero,month_sequence,pending,
NeurIPS-RA-119,sequential,February,March,二月,三月,febrero,marzo,month_sequence,pending,
NeurIPS-RA-120,sequential,morning,afternoon,早上,下午,mañana,tarde,time_sequence,pending,
NeurIPS-RA-121,sequential,afternoon,evening,下午,晚上,tarde,noche,time_sequence,pending,
NeurIPS-RA-122,sequential,spring,summer,春天,夏天,primavera,verano,season_sequence,pending,
NeurIPS-RA-123,sequential,summer,autumn,夏天,秋天,verano,otoño,season_sequence,pending,
NeurIPS-RA-124,sequential,yesterday,today,昨天,今天,ayer,hoy,temporal_sequence,pending,
NeurIPS-RA-125,sequential,today,tomorrow,今天,明天,hoy,mañana,temporal_sequence,pending,
