english,chinese,spanish,german,turkish,human
finger,手指,dedo,Finger,parmak,
hand,手,mano,Hand,el,
arm,手臂,brazo,Arm,kol,
toe,脚趾,dedo del pie,Zehe,ayak parmağı,
foot,脚,pie,Fuß,ayak,
leg,腿,pierna,Bein,bacak,
leaf,叶子,hoja,Blatt,yaprak,
tree,树,árbol,Baum,ağaç,
branch,树枝,rama,Ast,dal,
petal,花瓣,pétalo,Blütenblatt,taç yaprak,
flower,花,flor,Blume,çiçek,
seed,种子,semilla,Samen,tohum,
fruit,水果,fruta,Frucht,meyve,
wheel,轮子,rueda,Rad,tekerlek,
car,汽车,coche,Auto,araba,
engine,发动机,motor,Motor,motor,
page,页,página,Seite,sayfa,
book,书,libro,Buch,kitap,
chapter,章节,capítulo,Kapitel,bölüm,
word,词,palabra,Wort,kelime,
sentence,句子,oración,Satz,cümle,
paragraph,段落,párrafo,Absatz,paragraf,
room,房间,habitación,Zimmer,oda,
house,房子,casa,Haus,ev,
window,窗户,ventana,Fenster,pencere,
key,琴键,tecla,Taste,tuş,
piano,钢琴,piano,Klavier,piyano,
string,弦,cuerda,Saite,tel,
guitar,吉他,guitarra,Gitarre,gitar,
cell,细胞,célula,Zelle,hücre,
organism,生物,organismo,Organismus,organizma,
atom,原子,átomo,Atom,atom,
molecule,分子,molécula,Molekül,molekül,
eye,眼睛,ojo,Auge,göz,
face,脸,cara,Gesicht,yüz,
nose,鼻子,nariz,Nase,burun,
tooth,牙齿,diente,Zahn,diş,
mouth,嘴,boca,Mund,ağız,
ear,耳朵,oreja,Ohr,kulak,
head,头,cabeza,Kopf,baş,
heart,心脏,corazón,Herz,kalp,
body,身体,cuerpo,Körper,vücut,
lung,肺,pulmón,Lunge,akciğer,
root,树根,raíz,Wurzel,kök,
trunk,树干,tronco,Stamm,gövde,
stem,茎,tallo,Stiel,sap,
peel,果皮,cáscara,Schale,kabuk,
grain,米粒,grano,Korn,tane,
rice,稻谷,arroz,Reis,pirinç,
door,门,puerta,Tür,kapı,
building,建筑,edificio,Gebäude,bina,
roof,屋顶,techo,Dach,çatı,
wall,墙,pared,Wand,duvar,
floor,地板,piso,Boden,zemin,
stair,楼梯,escalera,Treppe,merdiven,
gear,齿轮,engranaje,Zahnrad,dişli,
machine,机器,máquina,Maschine,makine,
bolt,螺栓,perno,Bolzen,cıvata,
lens,镜头,lente,Linse,lens,
camera,相机,cámara,Kamera,kamera,
screen,屏幕,pantalla,Bildschirm,ekran,
computer,电脑,computadora,Computer,bilgisayar,
keyboard,键盘,teclado,Tastatur,klavye,
letter,字母,letra,Buchstabe,harf,
alphabet,字母表,alfabeto,Alphabet,alfabe,
essay,文章,ensayo,Aufsatz,deneme,
verse,诗句,verso,Vers,dize,
poem,诗,poema,Gedicht,şiir,
scene,场景,escena,Szene,sahne,
play,戏剧,obra,Theaterstück,oyun,
act,幕,acto,Akt,perde,
note,音符,nota,Note,nota,
melody,旋律,melodía,Melodie,melodi,
chord,和弦,acorde,Akkord,akor,
song,歌曲,canción,Lied,şarkı,
pixel,像素,píxel,Pixel,piksel,
image,图像,imagen,Bild,resim,
bit,比特,bit,Bit,bit,
byte,字节,byte,Byte,bayt,
